ISBN,Title,Author,Price,Stock,Category,Description
9789098275983,"Sample Book Title 280","Author Name 32",5.05,89,5,"This is a comprehensive description for sample book 280."
9789416698183,"Sample Book Title 281","Author Name 7",22.59,2,4,"This is a comprehensive description for sample book 281."
9786630599821,"Sample Book Title 282","Author Name 41",24.97,15,4,"This is a comprehensive description for sample book 282."
9782004294013,"Sample Book Title 283","Author Name 43",40.79,35,3,"This is a comprehensive description for sample book 283."
9786800394160,"Sample Book Title 284","Author Name 47",48.03,38,3,"This is a comprehensive description for sample book 284."
9786376660818,"Sample Book Title 285","Author Name 10",10.91,24,1,"This is a comprehensive description for sample book 285."
9786164556644,"Sample Book Title 286","Author Name 17",7.05,46,5,"This is a comprehensive description for sample book 286."
9786983484874,"Sample Book Title 287","Author Name 28",46.69,52,5,"This is a comprehensive description for sample book 287."
9782210570376,"Sample Book Title 288","Author Name 16",27.88,42,1,"This is a comprehensive description for sample book 288."
9780363587784,"Sample Book Title 289","Author Name 44",30.80,91,3,"This is a comprehensive description for sample book 289."
9786705379092,"Sample Book Title 290","Author Name 5",5.76,47,1,"This is a comprehensive description for sample book 290."
9780738194843,"Sample Book Title 291","Author Name 26",45.13,79,2,"This is a comprehensive description for sample book 291."
9788701158655,"Sample Book Title 292","Author Name 4",25.99,39,4,"This is a comprehensive description for sample book 292."
9782944272334,"Sample Book Title 293","Author Name 21",42.76,12,5,"This is a comprehensive description for sample book 293."
9781951751787,"Sample Book Title 294","Author Name 43",22.59,73,5,"This is a comprehensive description for sample book 294."
9787964358546,"Sample Book Title 295","Author Name 31",37.98,0,2,"This is a comprehensive description for sample book 295."
9786107525375,"Sample Book Title 296","Author Name 33",40.56,59,5,"This is a comprehensive description for sample book 296."
9786177585098,"Sample Book Title 297","Author Name 16",30.43,54,2,"This is a comprehensive description for sample book 297."
9784196172932,"Sample Book Title 298","Author Name 2",6.58,100,2,"This is a comprehensive description for sample book 298."
9786853228916,"Sample Book Title 299","Author Name 23",48.35,43,1,"This is a comprehensive description for sample book 299."
9782910937823,"Sample Book Title 300","Author Name 36",35.12,13,3,"This is a comprehensive description for sample book 300."
9782099929052,"Sample Book Title 301","Author Name 26",32.44,3,1,"This is a comprehensive description for sample book 301."
9789307973860,"Sample Book Title 302","Author Name 14",15.11,4,5,"This is a comprehensive description for sample book 302."
9787535873977,"Sample Book Title 303","Author Name 27",32.77,64,3,"This is a comprehensive description for sample book 303."
9788677392420,"Sample Book Title 304","Author Name 15",10.10,81,1,"This is a comprehensive description for sample book 304."
9783951009896,"Sample Book Title 305","Author Name 26",44.50,57,5,"This is a comprehensive description for sample book 305."
9788675161900,"Sample Book Title 306","Author Name 29",36.71,89,4,"This is a comprehensive description for sample book 306."
9786169156787,"Sample Book Title 307","Author Name 11",17.90,75,1,"This is a comprehensive description for sample book 307."
9782405113063,"Sample Book Title 308","Author Name 28",46.35,43,2,"This is a comprehensive description for sample book 308."
9783181438146,"Sample Book Title 309","Author Name 40",19.96,100,3,"This is a comprehensive description for sample book 309."
9783162175100,"Sample Book Title 310","Author Name 24",41.87,95,5,"This is a comprehensive description for sample book 310."
9782406419321,"Sample Book Title 311","Author Name 22",10.65,31,1,"This is a comprehensive description for sample book 311."
9782770107488,"Sample Book Title 312","Author Name 22",10.75,88,3,"This is a comprehensive description for sample book 312."
9787372941796,"Sample Book Title 313","Author Name 27",12.07,5,5,"This is a comprehensive description for sample book 313."
9782398151195,"Sample Book Title 314","Author Name 32",20.12,86,2,"This is a comprehensive description for sample book 314."
9784956650162,"Sample Book Title 315","Author Name 29",31.84,25,5,"This is a comprehensive description for sample book 315."
9787486103714,"Sample Book Title 316","Author Name 41",35.92,74,2,"This is a comprehensive description for sample book 316."
9786838165105,"Sample Book Title 317","Author Name 12",16.57,4,4,"This is a comprehensive description for sample book 317."
9781326819864,"Sample Book Title 318","Author Name 20",15.13,7,3,"This is a comprehensive description for sample book 318."
9784959549291,"Sample Book Title 319","Author Name 43",39.43,57,1,"This is a comprehensive description for sample book 319."
9781202857118,"Sample Book Title 320","Author Name 7",19.06,34,1,"This is a comprehensive description for sample book 320."
9786122410129,"Sample Book Title 321","Author Name 6",32.38,55,3,"This is a comprehensive description for sample book 321."
9782395698501,"Sample Book Title 322","Author Name 49",27.22,72,4,"This is a comprehensive description for sample book 322."
9782699960513,"Sample Book Title 323","Author Name 24",33.30,82,3,"This is a comprehensive description for sample book 323."
9785335923429,"Sample Book Title 324","Author Name 13",9.56,45,4,"This is a comprehensive description for sample book 324."
9786749892796,"Sample Book Title 325","Author Name 34",46.81,79,1,"This is a comprehensive description for sample book 325."
9789302850547,"Sample Book Title 326","Author Name 4",39.76,48,2,"This is a comprehensive description for sample book 326."
9781607803398,"Sample Book Title 327","Author Name 46",10.55,75,4,"This is a comprehensive description for sample book 327."
9788922417184,"Sample Book Title 328","Author Name 18",36.32,52,1,"This is a comprehensive description for sample book 328."
9782252283183,"Sample Book Title 329","Author Name 49",34.56,3,4,"This is a comprehensive description for sample book 329."
9780251451161,"Sample Book Title 330","Author Name 43",31.91,83,3,"This is a comprehensive description for sample book 330."
9789858422371,"Sample Book Title 331","Author Name 19",25.36,71,4,"This is a comprehensive description for sample book 331."
9782084403415,"Sample Book Title 332","Author Name 49",34.03,65,3,"This is a comprehensive description for sample book 332."
9780353012087,"Sample Book Title 333","Author Name 1",41.05,10,4,"This is a comprehensive description for sample book 333."
9789869078160,"Sample Book Title 334","Author Name 14",16.81,17,4,"This is a comprehensive description for sample book 334."
9782636563050,"Sample Book Title 335","Author Name 48",11.30,46,3,"This is a comprehensive description for sample book 335."
9780768027873,"Sample Book Title 336","Author Name 35",11.64,1,4,"This is a comprehensive description for sample book 336."
9784607235283,"Sample Book Title 337","Author Name 3",39.87,88,2,"This is a comprehensive description for sample book 337."
9786770248810,"Sample Book Title 338","Author Name 22",32.29,6,4,"This is a comprehensive description for sample book 338."
9789897476451,"Sample Book Title 339","Author Name 12",19.81,49,4,"This is a comprehensive description for sample book 339."
9782477025288,"Sample Book Title 340","Author Name 12",10.19,0,2,"This is a comprehensive description for sample book 340."
9781350438427,"Sample Book Title 341","Author Name 48",16.20,37,5,"This is a comprehensive description for sample book 341."
9780053411418,"Sample Book Title 342","Author Name 49",30.58,12,3,"This is a comprehensive description for sample book 342."
9780438793476,"Sample Book Title 343","Author Name 40",35.07,80,3,"This is a comprehensive description for sample book 343."
9787215264152,"Sample Book Title 344","Author Name 12",27.24,42,2,"This is a comprehensive description for sample book 344."
9788140668482,"Sample Book Title 345","Author Name 36",32.43,78,3,"This is a comprehensive description for sample book 345."
9789756551195,"Sample Book Title 346","Author Name 13",44.64,49,1,"This is a comprehensive description for sample book 346."
9785133167336,"Sample Book Title 347","Author Name 39",40.59,59,5,"This is a comprehensive description for sample book 347."
9789085216457,"Sample Book Title 348","Author Name 17",49.10,26,3,"This is a comprehensive description for sample book 348."
9783170063951,"Sample Book Title 349","Author Name 31",24.68,65,4,"This is a comprehensive description for sample book 349."
9785723330824,"Sample Book Title 350","Author Name 47",38.64,4,4,"This is a comprehensive description for sample book 350."
9787375893005,"Sample Book Title 351","Author Name 26",24.84,97,4,"This is a comprehensive description for sample book 351."
9784258847801,"Sample Book Title 352","Author Name 32",18.81,3,5,"This is a comprehensive description for sample book 352."
9789328004685,"Sample Book Title 353","Author Name 44",9.71,0,4,"This is a comprehensive description for sample book 353."
9786569690164,"Sample Book Title 354","Author Name 30",6.81,42,5,"This is a comprehensive description for sample book 354."
9780296240981,"Sample Book Title 355","Author Name 33",34.36,2,1,"This is a comprehensive description for sample book 355."
9788505427066,"Sample Book Title 356","Author Name 7",6.74,57,2,"This is a comprehensive description for sample book 356."
9784745388606,"Sample Book Title 357","Author Name 10",41.85,100,3,"This is a comprehensive description for sample book 357."
9782378105971,"Sample Book Title 358","Author Name 30",12.76,74,3,"This is a comprehensive description for sample book 358."
9782601102922,"Sample Book Title 359","Author Name 34",10.66,13,4,"This is a comprehensive description for sample book 359."
9785510257125,"Sample Book Title 360","Author Name 33",7.71,23,2,"This is a comprehensive description for sample book 360."
9780857833431,"Sample Book Title 361","Author Name 1",22.67,35,2,"This is a comprehensive description for sample book 361."
9786435553242,"Sample Book Title 362","Author Name 22",11.96,13,1,"This is a comprehensive description for sample book 362."
9781689660064,"Sample Book Title 363","Author Name 31",37.95,68,2,"This is a comprehensive description for sample book 363."
9784630118891,"Sample Book Title 364","Author Name 45",36.19,60,2,"This is a comprehensive description for sample book 364."
9789752998790,"Sample Book Title 365","Author Name 50",15.18,97,1,"This is a comprehensive description for sample book 365."
9781004186718,"Sample Book Title 366","Author Name 9",22.03,2,5,"This is a comprehensive description for sample book 366."
9784687728444,"Sample Book Title 367","Author Name 36",11.01,7,5,"This is a comprehensive description for sample book 367."
9788793043280,"Sample Book Title 368","Author Name 39",18.56,72,5,"This is a comprehensive description for sample book 368."
9787117811820,"Sample Book Title 369","Author Name 43",45.18,25,3,"This is a comprehensive description for sample book 369."
9788279817870,"Sample Book Title 370","Author Name 16",29.41,15,2,"This is a comprehensive description for sample book 370."
9781827578321,"Sample Book Title 371","Author Name 27",49.95,26,4,"This is a comprehensive description for sample book 371."
9785177486079,"Sample Book Title 372","Author Name 27",29.36,26,3,"This is a comprehensive description for sample book 372."
9786248042557,"Sample Book Title 373","Author Name 45",22.63,65,3,"This is a comprehensive description for sample book 373."
9782725424990,"Sample Book Title 374","Author Name 10",39.22,30,1,"This is a comprehensive description for sample book 374."
9781630408112,"Sample Book Title 375","Author Name 37",37.28,68,1,"This is a comprehensive description for sample book 375."
9780448550275,"Sample Book Title 376","Author Name 29",31.82,15,4,"This is a comprehensive description for sample book 376."
9789566192062,"Sample Book Title 377","Author Name 34",30.20,76,3,"This is a comprehensive description for sample book 377."
9784174069790,"Sample Book Title 378","Author Name 49",30.91,26,2,"This is a comprehensive description for sample book 378."
9782566903661,"Sample Book Title 379","Author Name 2",12.52,69,2,"This is a comprehensive description for sample book 379."
9787008091975,"Sample Book Title 380","Author Name 36",31.33,40,1,"This is a comprehensive description for sample book 380."
9781856352587,"Sample Book Title 381","Author Name 41",42.74,64,5,"This is a comprehensive description for sample book 381."
9780688578761,"Sample Book Title 382","Author Name 47",36.55,66,1,"This is a comprehensive description for sample book 382."
9781764870906,"Sample Book Title 383","Author Name 33",25.05,50,3,"This is a comprehensive description for sample book 383."
9787916923073,"Sample Book Title 384","Author Name 12",37.11,50,1,"This is a comprehensive description for sample book 384."
9781347634502,"Sample Book Title 385","Author Name 8",6.87,38,1,"This is a comprehensive description for sample book 385."
9783770607969,"Sample Book Title 386","Author Name 33",6.06,39,2,"This is a comprehensive description for sample book 386."
9788471979352,"Sample Book Title 387","Author Name 37",47.09,68,4,"This is a comprehensive description for sample book 387."
9789529446077,"Sample Book Title 388","Author Name 4",5.24,85,5,"This is a comprehensive description for sample book 388."
9782632435251,"Sample Book Title 389","Author Name 19",27.74,96,2,"This is a comprehensive description for sample book 389."
9787870719935,"Sample Book Title 390","Author Name 5",46.52,52,1,"This is a comprehensive description for sample book 390."
9787507656513,"Sample Book Title 391","Author Name 10",37.01,81,4,"This is a comprehensive description for sample book 391."
9786343143995,"Sample Book Title 392","Author Name 13",29.87,72,1,"This is a comprehensive description for sample book 392."
9782365919637,"Sample Book Title 393","Author Name 29",9.57,10,3,"This is a comprehensive description for sample book 393."
9783958005573,"Sample Book Title 394","Author Name 34",19.98,88,2,"This is a comprehensive description for sample book 394."
9783471114586,"Sample Book Title 395","Author Name 12",34.28,95,2,"This is a comprehensive description for sample book 395."
9784446847183,"Sample Book Title 396","Author Name 1",37.19,27,3,"This is a comprehensive description for sample book 396."
9789294021451,"Sample Book Title 397","Author Name 34",20.02,6,2,"This is a comprehensive description for sample book 397."
9781087284827,"Sample Book Title 398","Author Name 16",42.35,83,4,"This is a comprehensive description for sample book 398."
9785906642735,"Sample Book Title 399","Author Name 32",38.17,77,5,"This is a comprehensive description for sample book 399."
9780576728438,"Sample Book Title 400","Author Name 1",37.74,57,1,"This is a comprehensive description for sample book 400."
9789761137031,"Sample Book Title 401","Author Name 44",36.38,100,4,"This is a comprehensive description for sample book 401."
9787317257903,"Sample Book Title 402","Author Name 28",21.93,72,1,"This is a comprehensive description for sample book 402."
9786908277044,"Sample Book Title 403","Author Name 22",29.93,32,1,"This is a comprehensive description for sample book 403."
9784643633766,"Sample Book Title 404","Author Name 8",26.80,1,1,"This is a comprehensive description for sample book 404."
9785706386110,"Sample Book Title 405","Author Name 48",12.34,71,2,"This is a comprehensive description for sample book 405."
9782095964232,"Sample Book Title 406","Author Name 13",26.16,3,4,"This is a comprehensive description for sample book 406."
9789539792095,"Sample Book Title 407","Author Name 7",33.50,75,4,"This is a comprehensive description for sample book 407."
9781490146061,"Sample Book Title 408","Author Name 3",25.56,32,2,"This is a comprehensive description for sample book 408."
9783190667528,"Sample Book Title 409","Author Name 19",13.02,33,4,"This is a comprehensive description for sample book 409."
9783860050315,"Sample Book Title 410","Author Name 33",48.01,44,5,"This is a comprehensive description for sample book 410."
9783220921500,"Sample Book Title 411","Author Name 48",47.80,71,2,"This is a comprehensive description for sample book 411."
9780125632051,"Sample Book Title 412","Author Name 36",37.21,5,4,"This is a comprehensive description for sample book 412."
9788452017099,"Sample Book Title 413","Author Name 12",27.36,74,3,"This is a comprehensive description for sample book 413."
9780409206009,"Sample Book Title 414","Author Name 14",26.44,63,3,"This is a comprehensive description for sample book 414."
9782263917613,"Sample Book Title 415","Author Name 16",6.05,32,4,"This is a comprehensive description for sample book 415."
9782921402966,"Sample Book Title 416","Author Name 13",16.73,21,5,"This is a comprehensive description for sample book 416."
9785892587131,"Sample Book Title 417","Author Name 29",24.98,34,5,"This is a comprehensive description for sample book 417."
9781964580438,"Sample Book Title 418","Author Name 36",18.69,97,3,"This is a comprehensive description for sample book 418."
9789174931838,"Sample Book Title 419","Author Name 17",15.91,91,2,"This is a comprehensive description for sample book 419."
9787114899174,"Sample Book Title 420","Author Name 39",49.50,62,5,"This is a comprehensive description for sample book 420."
9782679018110,"Sample Book Title 421","Author Name 16",44.46,27,2,"This is a comprehensive description for sample book 421."
9781930730989,"Sample Book Title 422","Author Name 39",43.29,24,3,"This is a comprehensive description for sample book 422."
9784829541546,"Sample Book Title 423","Author Name 14",49.88,27,4,"This is a comprehensive description for sample book 423."
9785132082552,"Sample Book Title 424","Author Name 41",12.64,54,1,"This is a comprehensive description for sample book 424."
9781238691467,"Sample Book Title 425","Author Name 32",15.77,90,5,"This is a comprehensive description for sample book 425."
9786795560462,"Sample Book Title 426","Author Name 39",28.51,91,4,"This is a comprehensive description for sample book 426."
9789008767629,"Sample Book Title 427","Author Name 5",11.72,81,4,"This is a comprehensive description for sample book 427."
9780137903007,"Sample Book Title 428","Author Name 42",21.75,60,3,"This is a comprehensive description for sample book 428."
9780740568181,"Sample Book Title 429","Author Name 34",36.91,80,3,"This is a comprehensive description for sample book 429."
9784320880853,"Sample Book Title 430","Author Name 50",26.87,53,3,"This is a comprehensive description for sample book 430."
9788577561991,"Sample Book Title 431","Author Name 32",20.69,44,4,"This is a comprehensive description for sample book 431."
9782541924667,"Sample Book Title 432","Author Name 24",9.66,9,2,"This is a comprehensive description for sample book 432."
9783741959063,"Sample Book Title 433","Author Name 19",41.26,57,1,"This is a comprehensive description for sample book 433."
9787996251807,"Sample Book Title 434","Author Name 3",17.78,51,1,"This is a comprehensive description for sample book 434."
9780470447954,"Sample Book Title 435","Author Name 9",25.15,81,2,"This is a comprehensive description for sample book 435."
9785416186766,"Sample Book Title 436","Author Name 15",48.40,5,1,"This is a comprehensive description for sample book 436."
9785887523523,"Sample Book Title 437","Author Name 26",5.26,91,4,"This is a comprehensive description for sample book 437."
9788205769387,"Sample Book Title 438","Author Name 47",12.44,27,1,"This is a comprehensive description for sample book 438."
9784931699856,"Sample Book Title 439","Author Name 6",34.55,70,2,"This is a comprehensive description for sample book 439."
9782865894314,"Sample Book Title 440","Author Name 26",44.15,5,3,"This is a comprehensive description for sample book 440."
9789947005132,"Sample Book Title 441","Author Name 21",48.72,99,4,"This is a comprehensive description for sample book 441."
9781173585550,"Sample Book Title 442","Author Name 45",45.35,78,1,"This is a comprehensive description for sample book 442."
9786102185741,"Sample Book Title 443","Author Name 1",44.14,83,1,"This is a comprehensive description for sample book 443."
9781100323740,"Sample Book Title 444","Author Name 7",5.08,37,4,"This is a comprehensive description for sample book 444."
9785351073948,"Sample Book Title 445","Author Name 37",25.02,35,1,"This is a comprehensive description for sample book 445."
9789935435224,"Sample Book Title 446","Author Name 28",19.50,56,1,"This is a comprehensive description for sample book 446."
9787840981071,"Sample Book Title 447","Author Name 1",28.16,0,4,"This is a comprehensive description for sample book 447."
9788309596322,"Sample Book Title 448","Author Name 18",6.08,79,2,"This is a comprehensive description for sample book 448."
9787804089500,"Sample Book Title 449","Author Name 8",16.85,8,4,"This is a comprehensive description for sample book 449."
9780598350984,"Sample Book Title 450","Author Name 31",8.64,45,1,"This is a comprehensive description for sample book 450."
9787907199291,"Sample Book Title 451","Author Name 25",17.17,24,4,"This is a comprehensive description for sample book 451."
9785657455461,"Sample Book Title 452","Author Name 49",41.93,43,2,"This is a comprehensive description for sample book 452."
9784427800110,"Sample Book Title 453","Author Name 1",19.57,29,1,"This is a comprehensive description for sample book 453."
9781314890135,"Sample Book Title 454","Author Name 45",49.67,54,5,"This is a comprehensive description for sample book 454."
9787316384474,"Sample Book Title 455","Author Name 16",30.01,55,2,"This is a comprehensive description for sample book 455."
9782467628708,"Sample Book Title 456","Author Name 8",34.58,69,5,"This is a comprehensive description for sample book 456."
9780432915853,"Sample Book Title 457","Author Name 38",40.68,35,3,"This is a comprehensive description for sample book 457."
9782246880714,"Sample Book Title 458","Author Name 49",42.18,28,3,"This is a comprehensive description for sample book 458."
9781906749847,"Sample Book Title 459","Author Name 26",25.40,46,2,"This is a comprehensive description for sample book 459."
9787800727937,"Sample Book Title 460","Author Name 48",23.89,80,1,"This is a comprehensive description for sample book 460."
9780244901045,"Sample Book Title 461","Author Name 48",10.06,28,3,"This is a comprehensive description for sample book 461."
9787382924180,"Sample Book Title 462","Author Name 32",25.44,72,5,"This is a comprehensive description for sample book 462."
9785822162963,"Sample Book Title 463","Author Name 26",12.40,93,4,"This is a comprehensive description for sample book 463."
9783271770396,"Sample Book Title 464","Author Name 1",33.93,18,5,"This is a comprehensive description for sample book 464."
9788016589613,"Sample Book Title 465","Author Name 16",23.31,80,2,"This is a comprehensive description for sample book 465."
9783703723954,"Sample Book Title 466","Author Name 48",34.88,22,3,"This is a comprehensive description for sample book 466."
9780335783520,"Sample Book Title 467","Author Name 39",14.70,16,4,"This is a comprehensive description for sample book 467."
9786791594156,"Sample Book Title 468","Author Name 11",42.15,46,3,"This is a comprehensive description for sample book 468."
9787317626785,"Sample Book Title 469","Author Name 26",19.70,37,1,"This is a comprehensive description for sample book 469."
9781433522885,"Sample Book Title 470","Author Name 28",6.61,13,2,"This is a comprehensive description for sample book 470."
9789795486917,"Sample Book Title 471","Author Name 16",20.18,99,5,"This is a comprehensive description for sample book 471."
9787005208801,"Sample Book Title 472","Author Name 48",49.25,62,4,"This is a comprehensive description for sample book 472."
9788075361576,"Sample Book Title 473","Author Name 30",15.46,97,5,"This is a comprehensive description for sample book 473."
9784723398006,"Sample Book Title 474","Author Name 9",40.19,9,2,"This is a comprehensive description for sample book 474."
9786237702574,"Sample Book Title 475","Author Name 43",10.01,56,2,"This is a comprehensive description for sample book 475."
9788607175448,"Sample Book Title 476","Author Name 32",36.51,76,1,"This is a comprehensive description for sample book 476."
9781844122326,"Sample Book Title 477","Author Name 26",20.04,99,5,"This is a comprehensive description for sample book 477."
9780903058808,"Sample Book Title 478","Author Name 8",42.59,81,5,"This is a comprehensive description for sample book 478."
9788050296283,"Sample Book Title 479","Author Name 27",17.09,5,4,"This is a comprehensive description for sample book 479."
9783583228126,"Sample Book Title 480","Author Name 4",29.84,5,3,"This is a comprehensive description for sample book 480."
9782981374159,"Sample Book Title 481","Author Name 16",22.11,9,3,"This is a comprehensive description for sample book 481."
9785525969251,"Sample Book Title 482","Author Name 30",20.94,93,1,"This is a comprehensive description for sample book 482."
9789285328147,"Sample Book Title 483","Author Name 48",18.87,53,4,"This is a comprehensive description for sample book 483."
9783922899429,"Sample Book Title 484","Author Name 37",23.89,100,2,"This is a comprehensive description for sample book 484."
9780146783302,"Sample Book Title 485","Author Name 13",10.18,24,5,"This is a comprehensive description for sample book 485."
9785630457273,"Sample Book Title 486","Author Name 28",22.05,41,1,"This is a comprehensive description for sample book 486."
9788623465272,"Sample Book Title 487","Author Name 2",18.65,73,2,"This is a comprehensive description for sample book 487."
9780495982055,"Sample Book Title 488","Author Name 40",10.20,81,3,"This is a comprehensive description for sample book 488."
9787118644565,"Sample Book Title 489","Author Name 48",49.95,53,5,"This is a comprehensive description for sample book 489."
9789751632237,"Sample Book Title 490","Author Name 44",42.59,57,1,"This is a comprehensive description for sample book 490."
9788245717785,"Sample Book Title 491","Author Name 10",49.91,74,2,"This is a comprehensive description for sample book 491."
9782599566798,"Sample Book Title 492","Author Name 12",5.79,67,1,"This is a comprehensive description for sample book 492."
9780691542471,"Sample Book Title 493","Author Name 25",45.25,33,3,"This is a comprehensive description for sample book 493."
9783722013702,"Sample Book Title 494","Author Name 14",36.21,94,2,"This is a comprehensive description for sample book 494."
9788391581371,"Sample Book Title 495","Author Name 12",11.52,96,5,"This is a comprehensive description for sample book 495."
9789844320730,"Sample Book Title 496","Author Name 25",26.59,52,4,"This is a comprehensive description for sample book 496."
9783069683829,"Sample Book Title 497","Author Name 42",10.60,53,5,"This is a comprehensive description for sample book 497."
9788155881853,"Sample Book Title 498","Author Name 45",20.28,79,5,"This is a comprehensive description for sample book 498."
9789126920209,"Sample Book Title 499","Author Name 41",27.64,58,5,"This is a comprehensive description for sample book 499."
9781698519280,"Sample Book Title 500","Author Name 6",45.41,14,3,"This is a comprehensive description for sample book 500."
9788827134453,"Sample Book Title 501","Author Name 12",46.87,3,5,"This is a comprehensive description for sample book 501."
9788077966576,"Sample Book Title 502","Author Name 44",38.51,20,2,"This is a comprehensive description for sample book 502."
9786632306949,"Sample Book Title 503","Author Name 40",16.16,66,5,"This is a comprehensive description for sample book 503."
9786880266294,"Sample Book Title 504","Author Name 1",31.95,91,1,"This is a comprehensive description for sample book 504."
9782854572591,"Sample Book Title 505","Author Name 47",24.69,31,3,"This is a comprehensive description for sample book 505."
9784463270286,"Sample Book Title 506","Author Name 41",42.11,83,2,"This is a comprehensive description for sample book 506."
9784886818571,"Sample Book Title 507","Author Name 36",9.50,61,5,"This is a comprehensive description for sample book 507."
9782874020995,"Sample Book Title 508","Author Name 14",37.43,74,5,"This is a comprehensive description for sample book 508."
9788578262551,"Sample Book Title 509","Author Name 45",19.50,46,2,"This is a comprehensive description for sample book 509."
9788272669308,"Sample Book Title 510","Author Name 6",37.50,25,4,"This is a comprehensive description for sample book 510."
9787688013729,"Sample Book Title 511","Author Name 4",25.53,34,4,"This is a comprehensive description for sample book 511."
9783210503398,"Sample Book Title 512","Author Name 35",21.26,86,3,"This is a comprehensive description for sample book 512."
9789268004384,"Sample Book Title 513","Author Name 9",35.09,83,5,"This is a comprehensive description for sample book 513."
9784973139224,"Sample Book Title 514","Author Name 49",42.16,64,1,"This is a comprehensive description for sample book 514."
9784122150228,"Sample Book Title 515","Author Name 5",20.03,11,2,"This is a comprehensive description for sample book 515."
9788366294971,"Sample Book Title 516","Author Name 7",13.36,71,1,"This is a comprehensive description for sample book 516."
9787042002831,"Sample Book Title 517","Author Name 5",43.12,43,4,"This is a comprehensive description for sample book 517."
9789868910371,"Sample Book Title 518","Author Name 45",9.37,41,2,"This is a comprehensive description for sample book 518."
9787163987784,"Sample Book Title 519","Author Name 33",17.51,70,4,"This is a comprehensive description for sample book 519."
9780020369985,"Sample Book Title 520","Author Name 31",27.69,33,3,"This is a comprehensive description for sample book 520."
9781592643139,"Sample Book Title 521","Author Name 33",33.40,51,5,"This is a comprehensive description for sample book 521."
9780262063398,"Sample Book Title 522","Author Name 42",33.66,6,5,"This is a comprehensive description for sample book 522."
9788381580032,"Sample Book Title 523","Author Name 42",7.73,51,4,"This is a comprehensive description for sample book 523."
9788743770241,"Sample Book Title 524","Author Name 16",10.59,79,2,"This is a comprehensive description for sample book 524."
9785359026129,"Sample Book Title 525","Author Name 33",31.20,73,5,"This is a comprehensive description for sample book 525."
9787580970570,"Sample Book Title 526","Author Name 16",13.26,73,1,"This is a comprehensive description for sample book 526."
9781262848035,"Sample Book Title 527","Author Name 21",45.49,84,3,"This is a comprehensive description for sample book 527."
9787760004333,"Sample Book Title 528","Author Name 11",44.08,86,5,"This is a comprehensive description for sample book 528."
9789009849372,"Sample Book Title 529","Author Name 6",17.77,14,4,"This is a comprehensive description for sample book 529."
9780127631066,"Sample Book Title 530","Author Name 36",48.76,16,2,"This is a comprehensive description for sample book 530."
9785058183753,"Sample Book Title 531","Author Name 39",26.23,71,4,"This is a comprehensive description for sample book 531."
9785905207080,"Sample Book Title 532","Author Name 4",29.25,95,1,"This is a comprehensive description for sample book 532."
9781176671208,"Sample Book Title 533","Author Name 28",19.59,68,5,"This is a comprehensive description for sample book 533."
9786351048762,"Sample Book Title 534","Author Name 31",37.37,36,4,"This is a comprehensive description for sample book 534."
9786946444052,"Sample Book Title 535","Author Name 29",11.13,14,2,"This is a comprehensive description for sample book 535."
9786917409459,"Sample Book Title 536","Author Name 21",8.33,39,4,"This is a comprehensive description for sample book 536."
9786000020203,"Sample Book Title 537","Author Name 50",16.74,58,4,"This is a comprehensive description for sample book 537."
9789938705383,"Sample Book Title 538","Author Name 9",29.98,81,2,"This is a comprehensive description for sample book 538."
9789363084965,"Sample Book Title 539","Author Name 16",36.07,1,1,"This is a comprehensive description for sample book 539."
9789139125091,"Sample Book Title 540","Author Name 29",37.00,65,3,"This is a comprehensive description for sample book 540."
9786192070984,"Sample Book Title 541","Author Name 13",21.93,69,1,"This is a comprehensive description for sample book 541."
9789024342532,"Sample Book Title 542","Author Name 10",27.36,91,1,"This is a comprehensive description for sample book 542."
9787025627663,"Sample Book Title 543","Author Name 50",7.23,59,3,"This is a comprehensive description for sample book 543."
9786859728435,"Sample Book Title 544","Author Name 37",34.41,86,4,"This is a comprehensive description for sample book 544."
9787410487661,"Sample Book Title 545","Author Name 45",24.31,22,2,"This is a comprehensive description for sample book 545."
9789530691713,"Sample Book Title 546","Author Name 6",5.18,90,4,"This is a comprehensive description for sample book 546."
9786207657002,"Sample Book Title 547","Author Name 1",20.52,24,2,"This is a comprehensive description for sample book 547."
9783754488911,"Sample Book Title 548","Author Name 42",32.74,68,5,"This is a comprehensive description for sample book 548."
9784079165748,"Sample Book Title 549","Author Name 17",26.39,6,2,"This is a comprehensive description for sample book 549."
9780266320366,"Sample Book Title 550","Author Name 8",23.99,6,3,"This is a comprehensive description for sample book 550."
9789670877519,"Sample Book Title 551","Author Name 33",8.37,95,1,"This is a comprehensive description for sample book 551."
9780985788138,"Sample Book Title 552","Author Name 6",44.40,49,3,"This is a comprehensive description for sample book 552."
9781739197936,"Sample Book Title 553","Author Name 20",31.58,3,5,"This is a comprehensive description for sample book 553."
9783795345744,"Sample Book Title 554","Author Name 2",20.82,78,3,"This is a comprehensive description for sample book 554."
9780471579995,"Sample Book Title 555","Author Name 26",17.29,57,5,"This is a comprehensive description for sample book 555."
9784917621777,"Sample Book Title 556","Author Name 7",12.73,42,1,"This is a comprehensive description for sample book 556."
9789647554349,"Sample Book Title 557","Author Name 2",13.86,90,4,"This is a comprehensive description for sample book 557."
9780962840934,"Sample Book Title 558","Author Name 26",20.31,24,5,"This is a comprehensive description for sample book 558."
